N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
17, 4096, 0.3, 2, 97.21, 98.23, 79.62, 67.07
17, 4096, 0.3, 5, 97.35, 98.28, 79.81, 65.63
17, 4096, 0.3, 10, 96.6, 97.31, 77.17, 62.47
18, 512, 0.3, 0, 82.29, 86.48, 75.09, 70.04
18, 512, 0.3, 1, 84.15, 87.26, 76.04, 64.3
18, 512, 0.3, 2, 82.98, 83.99, 72.92, 59.71
18, 512, 0.3, 5, 81.96, 81.28, 72.83, 57.1
18, 512, 0.3, 10, 84.26, 82.16, 75.66, 59.48
18, 1024, 0.3, 0, 87.73, 91.73, 76.7, 63.37
18, 1024, 0.3, 1, 89.71, 92.83, 77.55, 63.99
18, 1024, 0.3, 2, 89.22, 91.29, 76.89, 63.2
18, 1024, 0.3, 5, 87.38, 88.26, 75.57, 59.36
18, 1024, 0.3, 10, 88.52, 85.61, 76.04, 57.7
18, 2048, 0.3, 0, 92.74, 95.77, 79.34, 67.12
18, 2048, 0.3, 1, 94.09, 96.48, 80.57, 68.42
18, 2048, 0.3, 2, 94.65, 96.73, 79.81, 68.14
18, 2048, 0.3, 5, 93.25, 94.04, 78.4, 63.7
18, 2048, 0.3, 10, 92.85, 92.9, 78.96, 60.09
18, 4096, 0.3, 0, 96.21, 97.74, 79.62, 66.55
18, 4096, 0.3, 1, 97.44, 98.36, 80, 67.06
18, 4096, 0.3, 2, 97.51, 98.48, 79.06, 66.22
18, 4096, 0.3, 5, 97.51, 98.52, 79.15, 64.68
18, 4096, 0.3, 10, 97.21, 97.76, 80, 63.65
19, 512, 0.3, 0, 82.98, 87.04, 75.75, 67.27
19, 512, 0.3, 1, 83.57, 86.41, 75, 63.59
19, 512, 0.3, 2, 82.05, 84.34, 73.21, 61.23
19, 512, 0.3, 5, 82.17, 81.52, 70.66, 56.49
19, 512, 0.3, 10, 83.43, 80.23, 72.08, 55.1
19, 1024, 0.3, 0, 87.83, 91.95, 76.51, 62.49
19, 1024, 0.3, 1, 90.18, 93.34, 77.83, 64.47
19, 1024, 0.3, 2, 89.25, 92.49, 76.89, 64.58
19, 1024, 0.3, 5, 88.24, 88.7, 73.87, 56.73
19, 1024, 0.3, 10, 87.27, 86.31, 74.25, 55.57
19, 2048, 0.3, 0, 92.36, 95.57, 79.91, 68.16
19, 2048, 0.3, 1, 94.11, 96.48, 79.91, 67.01
19, 2048, 0.3, 2, 94.67, 96.67, 80.28, 67.06
19, 2048, 0.3, 5, 93.09, 93.63, 78.77, 65.77
19, 2048, 0.3, 10, 93.18, 93.98, 77.17, 59.36
19, 4096, 0.3, 0, 96.51, 97.91, 78.21, 66.35
19, 4096, 0.3, 1, 97.28, 98.31, 79.53, 66.98
19, 4096, 0.3, 2, 97.51, 98.47, 79.62, 66.6
19, 4096, 0.3, 5, 97.81, 98.39, 78.87, 64.16
19, 4096, 0.3, 10, 95.32, 95.41, 75.75, 60.94
20, 512, 0.3, 0, 82.26, 87.06, 74.72, 67.62
20, 512, 0.3, 1, 84.22, 88.24, 75.57, 63.45
20, 512, 0.3, 2, 82.57, 85.4, 74.43, 60.98
20, 512, 0.3, 5, 82.98, 82.7, 73.02, 54.34
20, 512, 0.3, 10, 85.13, 85.3, 75, 57.31
20, 1024, 0.3, 0, 87.76, 92.07, 75.75, 63.36
20, 1024, 0.3, 1, 90.08, 93.36, 77.64, 64.77
20, 1024, 0.3, 2, 89.22, 91.48, 76.51, 62.52
20, 1024, 0.3, 5, 88.85, 88.79, 75.38, 57.72
20, 1024, 0.3, 10, 87.5, 85.51, 75.19, 56.72
20, 2048, 0.3, 0, 92.99, 96.05, 80.38, 69.41
20, 2048, 0.3, 1, 94.88, 97.03, 80.85, 68.18
20, 2048, 0.3, 2, 94.97, 97.07, 81.23, 67.36
20, 2048, 0.3, 5, 94.48, 95.53, 80.38, 64.64
20, 2048, 0.3, 10, 93.69, 93.32, 77.74, 60.06
20, 4096, 0.3, 0, 96.51, 97.85, 78.96, 65.68
20, 4096, 0.3, 1, 97.63, 98.5, 80.19, 66.8
20, 4096, 0.3, 2, 97.58, 98.44, 79.43, 66.02
20, 4096, 0.3, 5, 96.93, 97.75, 78.11, 65.08
20, 4096, 0.3, 10, 96.39, 96.73, 77.17, 62.11
