N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
5, 2048, 0, 1, 90.05, 91.17, 84.73, 86.27
5, 2048, 0, 2, 89.64, 90.9, 84.73, 86.54
5, 2048, 0, 3, 90.49, 91.9, 84.18, 86.15
5, 2048, 0, 4, 89.01, 90.34, 82.64, 85.17
5, 2048, 0, 5, 87.74, 89.33, 82.09, 84.39
5, 2048, 0, 6, 85.97, 88.31, 78.9, 81.79
5, 2048, 0, 7, 83.33, 86.02, 77.14, 81.45
5, 2048, 0, 8, 80.82, 82.79, 73.19, 75.48
5, 2048, 0, 9, 84.4, 87.08, 77.03, 81.07
5, 2048, 0, 10, 83.22, 85.66, 75.16, 78.7
6, 512, 0, 0, 84.27, 86.35, 81.43, 83.84
6, 512, 0, 1, 84.02, 86.17, 81.43, 84.05
6, 512, 0, 2, 84.02, 86.2, 81.54, 84.39
6, 512, 0, 3, 82.56, 85.14, 79.78, 83.04
6, 512, 0, 4, 79.17, 82.28, 74.18, 79.45
6, 512, 0, 5, 77.6, 81.13, 73.41, 77.57
6, 512, 0, 6, 78.07, 79.76, 74.62, 76.97
6, 512, 0, 7, 79.72, 81.73, 74.73, 77.49
6, 512, 0, 8, 79.22, 81.28, 74.95, 78.27
6, 512, 0, 9, 76.88, 80.52, 73.63, 77.72
6, 512, 0, 10, 82.97, 83.19, 78.13, 79.72
6, 1024, 0, 0, 86.55, 88.48, 83.08, 85.25
6, 1024, 0, 1, 87.35, 88.96, 83.63, 85.93
6, 1024, 0, 2, 85.62, 87.68, 82.09, 84.52
6, 1024, 0, 3, 87.43, 89.13, 82.31, 84.53
6, 1024, 0, 4, 82.67, 84.68, 76.92, 79.8
6, 1024, 0, 5, 83.74, 83.91, 79.34, 80.44
6, 1024, 0, 6, 81.9, 84.81, 75.05, 79.1
6, 1024, 0, 7, 79.8, 83.7, 75.16, 80.16
6, 1024, 0, 8, 81.21, 85, 74.51, 79.14
6, 1024, 0, 9, 83.6, 87.01, 77.03, 80.94
6, 1024, 0, 10, 81.9, 84.64, 75.05, 79.28
6, 2048, 0, 0, 89.53, 90.91, 83.85, 85.89
6, 2048, 0, 1, 90.38, 91.44, 84.95, 86.63
6, 2048, 0, 2, 90.11, 91.26, 84.73, 86.35
6, 2048, 0, 3, 88.92, 90.29, 81.98, 84.02
6, 2048, 0, 4, 89.45, 90.73, 83.63, 85.99
6, 2048, 0, 5, 84.43, 86.32, 78.24, 80.48
6, 2048, 0, 6, 84.1, 86.02, 76.04, 79.61
6, 2048, 0, 7, 85.97, 87.78, 78.24, 80.83
6, 2048, 0, 8, 85.17, 86.2, 78.24, 80.33
6, 2048, 0, 9, 86.47, 87.18, 78.68, 80.46
6, 2048, 0, 10, 84.79, 86.51, 77.25, 79.45
7, 512, 0, 0, 84.87, 86.77, 82.53, 84.65
7, 512, 0, 1, 85.26, 87.33, 82.75, 84.81
7, 512, 0, 2, 80.1, 81.87, 75.93, 78.92
7, 512, 0, 3, 81.29, 82.69, 77.47, 79.67
7, 512, 0, 4, 78.84, 81.61, 74.18, 77.49
7, 512, 0, 5, 76.91, 80.36, 74.62, 80.09
7, 512, 0, 6, 79.2, 82.54, 75.6, 79.96
7, 512, 0, 7, 79.58, 83.2, 72.75, 77.06
7, 512, 0, 8, 79.83, 81.76, 75.71, 78.69
7, 512, 0, 9, 78.34, 81.36, 73.3, 77.47
7, 512, 0, 10, 81.34, 83.84, 77.69, 80.62
7, 1024, 0, 0, 86.55, 88.56, 82.31, 84.87
7, 1024, 0, 1, 87.6, 88.99, 83.96, 85.52
7, 1024, 0, 2, 86.86, 88.51, 81.54, 83.88
7, 1024, 0, 3, 86.25, 87.86, 81.21, 83.93
7, 1024, 0, 4, 82.34, 84.34, 75.71, 78.22
7, 1024, 0, 5, 84.32, 85.61, 78.46, 80.46
7, 1024, 0, 6, 81.7, 83.82, 77.14, 80.29
7, 1024, 0, 7, 82.12, 85.03, 75.82, 80.19
7, 1024, 0, 8, 82.86, 83.52, 76.59, 77.46
7, 1024, 0, 9, 80.24, 82.4, 73.3, 75.59
7, 1024, 0, 10, 83.36, 86.35, 77.8, 81.65
7, 2048, 0, 0, 90.05, 91.06, 83.96, 85.5
7, 2048, 0, 1, 90.3, 91.34, 84.84, 86.77
7, 2048, 0, 2, 90.49, 91.47, 84.62, 86.39
7, 2048, 0, 3, 90.52, 91.7, 84.18, 86.27
7, 2048, 0, 4, 87.99, 89.11, 81.54, 83.62
7, 2048, 0, 5, 89.56, 90.73, 81.98, 84.19
7, 2048, 0, 6, 87.43, 89.5, 80.33, 82.68
7, 2048, 0, 7, 85.56, 86.99, 79.01, 82.29
